Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Näkyvyys (m),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2017,1,1,00:00,UTC,0,0,3.5,,5.8,3.6
2017,1,1,01:00,UTC,0,0,2.9,,5,3.7
2017,1,1,02:00,UTC,0,0,2,,4.1,3.1
2017,1,1,03:00,UTC,0,0,1.8,,5.5,4
2017,1,1,04:00,UTC,0,0,1.8,,4.4,3.7
2017,1,1,05:00,UTC,0,0,0.4,,3.4,2.6
2017,1,1,06:00,UTC,0,0,0.5,17696,4.8,3.7
2017,1,1,07:00,UTC,0,0,-0.3,7676,3.6,2.6
2017,1,1,08:00,UTC,0,0,0,15053,5.6,3.1
2017,1,1,09:00,UTC,0,0,0.4,17375,3,2.5
2017,1,1,10:00,UTC,0,0,0.5,17480,3.1,1.6
2017,1,1,11:00,UTC,0,0,0.6,23669,3.3,2
2017,1,1,12:00,UTC,0,0,0.3,23900,2.6,1.6
2017,1,1,13:00,UTC,0,0,-1.1,11392,2.5,2
2017,1,1,14:00,UTC,0,0,-1.8,11628,2.1,1.6
2017,1,1,15:00,UTC,0,0,-1.4,20060,2.8,1.8
2017,1,1,16:00,UTC,0,0,-1.7,19930,3.3,2.6
2017,1,1,17:00,UTC,0,0,-0.5,28001,6,3.8
2017,1,1,18:00,UTC,0,0,-0.1,36756,6.2,3.6
2017,1,1,19:00,UTC,0,0,-0.6,50000,7.4,4.8
2017,1,1,20:00,UTC,0,0,-1.3,50000,7.6,4.7
2017,1,1,21:00,UTC,0,,-2.5,50000,3.3,2.3
2017,1,1,22:00,UTC,0,0,-3.2,50000,4.7,3.2
2017,1,1,23:00,UTC,0,0,-3.7,48648,5.2,3.7
2017,1,2,00:00,UTC,0,0,-4.3,47063,6.3,4
2017,1,2,01:00,UTC,0,0,-4.7,46504,4.1,2.4
2017,1,2,02:00,UTC,0,0,-4.5,49357,5.2,3.5
2017,1,2,03:00,UTC,0,0,-4,46207,4.9,3.1
2017,1,2,04:00,UTC,0,0,-3.9,28228,5.7,3.5
2017,1,2,05:00,UTC,0,0,-3.7,45878,4.3,2.9
2017,1,2,06:00,UTC,0,0,-3.8,28107,4.5,3
2017,1,2,07:00,UTC,0,0,-3.7,27024,2.5,1.8
2017,1,2,08:00,UTC,0,0,-3.5,43559,2.3,1.5
2017,1,2,09:00,UTC,0,0,-3.3,38893,3,2.3
2017,1,2,10:00,UTC,0,0,-3,35707,3.2,2.2
2017,1,2,11:00,UTC,0,0,-2.9,29038,3,2.2
2017,1,2,12:00,UTC,0,0,-2.9,11895,2.9,2.1
2017,1,2,13:00,UTC,0.2,0,-3.1,3190,2.5,1.8
2017,1,2,14:00,UTC,0.4,0,-3.2,2340,2.9,1.9
2017,1,2,15:00,UTC,0.4,0,-3,1918,2.3,1.3
2017,1,2,16:00,UTC,0.3,0,-3.2,2843,4.9,3.2
2017,1,2,17:00,UTC,0.3,0,-3.6,1864,5.3,3.8
2017,1,2,18:00,UTC,0.2,0,-3.9,1970,5.8,3.2
2017,1,2,19:00,UTC,0.2,0,-4.3,1897,5.4,3.6
2017,1,2,20:00,UTC,0.5,2,-4.8,1953,5.6,3.8
2017,1,2,21:00,UTC,0.5,3,-5.2,1236,5.2,3.5
2017,1,2,22:00,UTC,0.5,5,-5.4,1370,5.7,3.9
2017,1,2,23:00,UTC,0.3,5,-5.6,2550,5.3,3.4
2017,1,3,00:00,UTC,0,5,-6,4939,5.8,4
2017,1,3,01:00,UTC,0,5,-6.6,7467,5.2,3
2017,1,3,02:00,UTC,0,5,-6.7,27176,5.4,3.2
2017,1,3,03:00,UTC,0,5,-6.6,10036,4.3,2.9
2017,1,3,04:00,UTC,0.4,5,-6.5,4594,4.5,3.1
2017,1,3,05:00,UTC,0,5,-6.5,4490,4.7,2.8
2017,1,3,06:00,UTC,0,5,-6.3,9217,3.7,2.2
2017,1,3,07:00,UTC,0,5,-6.1,18534,4.4,2.6
2017,1,3,08:00,UTC,0,4,-6.1,4805,4.1,2.6
2017,1,3,09:00,UTC,0,4,-6,3171,3.8,2.4
2017,1,3,10:00,UTC,0,5,-6,2785,3.2,2.4
2017,1,3,11:00,UTC,1,7,-6,747,3.7,2.5
2017,1,3,12:00,UTC,2.9,13,-6.1,361,3.4,2
2017,1,3,13:00,UTC,0.3,16,-6.1,3220,3.3,1.7
2017,1,3,14:00,UTC,0,15,-7.6,6078,3.3,2.9
2017,1,3,15:00,UTC,0,15,-8.3,14680,3.3,2.7
2017,1,3,16:00,UTC,0,14,-10.3,15531,3.4,2.9
2017,1,3,17:00,UTC,0,14,-8.8,16725,3.7,2.6
2017,1,3,18:00,UTC,0,14,-9.3,8345,2.1,1.6
2017,1,3,19:00,UTC,0,13,-10.8,6247,2.6,2.1
2017,1,3,20:00,UTC,0,13,-11.4,6616,2.5,1.6
2017,1,3,21:00,UTC,0,13,-12.1,14888,3.1,2.8
2017,1,3,22:00,UTC,0,13,-11.3,15454,5.4,4.6
2017,1,3,23:00,UTC,0,12,-4.3,5777,10.4,5.3
2017,1,4,00:00,UTC,0,12,-4.1,9917,11.5,5.7
2017,1,4,01:00,UTC,0,12,-5,3435,13.1,7.4
2017,1,4,02:00,UTC,0,11,-6.5,3226,9.1,5.9
2017,1,4,03:00,UTC,0,11,-6.4,7155,12.2,6.6
2017,1,4,04:00,UTC,0,12,-8.9,1439,11.5,7.1
2017,1,4,05:00,UTC,0,11,-9.9,887,11.2,6.2
2017,1,4,06:00,UTC,0,11,-10.5,4217,11,6.2
2017,1,4,07:00,UTC,0,12,-11.3,2893,10.6,6.3
2017,1,4,08:00,UTC,0,13,-10.8,3737,11.7,6.7
2017,1,4,09:00,UTC,0,13,-10.7,3372,12.4,6.7
2017,1,4,10:00,UTC,0,12,-12,5166,12.7,8.3
2017,1,4,11:00,UTC,0,12,-13.2,8470,14.2,8.9
2017,1,4,12:00,UTC,0,12,-14.2,23167,10.9,6.4
2017,1,4,13:00,UTC,0,12,-14.9,41064,11.2,6.6
2017,1,4,14:00,UTC,0,12,-15.8,38610,11,6.6
2017,1,4,15:00,UTC,0,12,-17.1,29325,10.9,6.1
2017,1,4,16:00,UTC,0,12,-17.8,31812,12.3,6.7
2017,1,4,17:00,UTC,0,11,-18.2,37426,11.8,6.1
2017,1,4,18:00,UTC,0,11,-18.3,30456,11.8,6.5
2017,1,4,19:00,UTC,0,11,-18,30399,11.4,7.1
2017,1,4,20:00,UTC,0,11,-18,34936,10.4,5.6
2017,1,4,21:00,UTC,0,11,-18.2,21532,11.3,6.4
2017,1,4,22:00,UTC,0,11,-18.2,41663,10.9,6.3
2017,1,4,23:00,UTC,0,10,-17.8,34564,11.1,5.9
2017,1,5,00:00,UTC,0,11,-17.8,43843,9.8,6.4
2017,1,5,01:00,UTC,0,11,-18.1,46672,10,5.8
2017,1,5,02:00,UTC,0,11,-17.9,45202,11.6,6.5
2017,1,5,03:00,UTC,0,11,-17.8,41492,8.9,5.5
2017,1,5,04:00,UTC,0,10,-17.9,45851,8.9,5.9
2017,1,5,05:00,UTC,0,10,-17.8,44677,9.9,6
2017,1,5,06:00,UTC,0,10,-18.1,43671,8.7,5.3
2017,1,5,07:00,UTC,0,10,-18,42144,8.6,5.7
2017,1,5,08:00,UTC,0,10,-18,49612,8,5.1
2017,1,5,09:00,UTC,0,10,-17.5,48305,7.7,4.6
2017,1,5,10:00,UTC,0,10,-16.8,48912,8.8,5.1
2017,1,5,11:00,UTC,0,10,-16.3,44422,9.6,5.5
2017,1,5,12:00,UTC,0,10,-16.1,42780,10.2,5.8
2017,1,5,13:00,UTC,0,10,-16.2,45135,7.8,5
2017,1,5,14:00,UTC,0,10,-16.4,42163,8.1,5
2017,1,5,15:00,UTC,0,10,-17.1,43150,6.6,4.5
2017,1,5,16:00,UTC,0,10,-17.3,42721,7.2,3.9
2017,1,5,17:00,UTC,0,9,-17.4,39283,6.6,4
2017,1,5,18:00,UTC,0,9,-17.9,37397,5.5,3.4
2017,1,5,19:00,UTC,0,9,-18.5,36565,5.1,3.4
2017,1,5,20:00,UTC,0,9,-19,36479,4.3,2.8
2017,1,5,21:00,UTC,0,9,-19.3,34323,4.5,2.7
2017,1,5,22:00,UTC,0,9,-19.8,42808,4.4,3.1
2017,1,5,23:00,UTC,0,9,-20.1,43750,4.8,3.4
2017,1,6,00:00,UTC,0,9,-19.8,48697,4.7,3.1
2017,1,6,01:00,UTC,0,9,-20.2,45259,3.3,2.3
2017,1,6,02:00,UTC,0,9,-20.3,42969,4.1,2.9
2017,1,6,03:00,UTC,0,9,-20.5,43894,4.1,3
2017,1,6,04:00,UTC,0,9,-20.8,39222,4.4,3
2017,1,6,05:00,UTC,0,9,-21.2,41258,3.8,3
2017,1,6,06:00,UTC,0,9,-21.4,40554,3.4,2.4
2017,1,6,07:00,UTC,0,9,-22,41460,2.6,2.3
2017,1,6,08:00,UTC,0,9,-22.1,40147,3.3,2.8
2017,1,6,09:00,UTC,0,9,-22.2,30820,2.8,2.2
2017,1,6,10:00,UTC,0,9,-20,28017,1.1,0.6
2017,1,6,11:00,UTC,0,9,-18.7,22725,1.8,1.2
2017,1,6,12:00,UTC,0,9,-17.8,20509,1.8,1.4
2017,1,6,13:00,UTC,0,9,-16.9,13175,2.5,2
2017,1,6,14:00,UTC,0,9,-18.3,18828,2.2,1.7
2017,1,6,15:00,UTC,0,9,-19.5,13864,3,2.5
2017,1,6,16:00,UTC,0,9,-20.1,8470,3.9,3.2
2017,1,6,17:00,UTC,0,9,-20.7,15161,1.7,1.4
2017,1,6,18:00,UTC,0,9,-20.3,10450,3.5,2.8
2017,1,6,19:00,UTC,0,9,-18.6,8749,5.7,4.3
2017,1,6,20:00,UTC,0,9,-8.5,11938,8.8,5.8
2017,1,6,21:00,UTC,0,9,-8.1,15566,9.4,5.8
2017,1,6,22:00,UTC,0,9,-8.1,8640,11.2,7.4
2017,1,6,23:00,UTC,0,9,-7.2,14010,11.5,7.1
2017,1,7,00:00,UTC,0,10,-6.5,6697,12.5,7.1
2017,1,7,01:00,UTC,0,9,-6,27055,11.9,6.9
2017,1,7,02:00,UTC,0,9,-5.3,4155,12.7,8.6
2017,1,7,03:00,UTC,0,9,-5.1,6752,15.3,9.2
2017,1,7,04:00,UTC,0,9,-5.2,13198,15.3,9
2017,1,7,05:00,UTC,0,9,-5.3,4391,15.7,10.3
2017,1,7,06:00,UTC,1.1,10,-5.5,247,15.1,9.8
2017,1,7,07:00,UTC,0.5,10,-5.2,578,14.6,9
2017,1,7,08:00,UTC,0.2,11,-4.9,1509,13.8,8.4
2017,1,7,09:00,UTC,1.1,12,-4.3,1071,16.3,9.6
2017,1,7,10:00,UTC,0.5,12,-3.7,3451,13.4,8.4
2017,1,7,11:00,UTC,0,12,-2.8,3708,14.5,7.4
2017,1,7,12:00,UTC,0.5,12,-2.2,5772,13.1,7.8
2017,1,7,13:00,UTC,0,12,-1.6,11113,11.1,6.8
2017,1,7,14:00,UTC,0.9,13,-1.5,1507,8.1,4.9
2017,1,7,15:00,UTC,0,13,-1.2,3071,7.4,4
2017,1,7,16:00,UTC,0,12,-0.6,24257,4.4,3.3
2017,1,7,17:00,UTC,0,12,-0.6,34192,5.1,3.4
2017,1,7,18:00,UTC,0,12,-0.8,26330,4.6,2.9
2017,1,7,19:00,UTC,0,12,-0.9,37178,5.2,3.3
2017,1,7,20:00,UTC,0,12,-1.3,32559,5.2,3.1
2017,1,7,21:00,UTC,0,12,-1.6,30908,4.8,3.5
2017,1,7,22:00,UTC,0,12,-1.9,30853,6,3.7
2017,1,7,23:00,UTC,0,12,-2,15011,5.6,3.9
2017,1,8,00:00,UTC,0,12,-1.8,8053,4.8,3.1
2017,1,8,01:00,UTC,0,12,-1.8,9265,6.9,4.6
