Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Näkyvyys (m),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2019,1,1,01:00,UTC,0.5,7,1.8,3676,13.5,8.8
2019,1,1,02:00,UTC,0.3,6,2.2,4457,14,7.7
2019,1,1,03:00,UTC,0,6,2.5,7865,12.4,8.1
2019,1,1,04:00,UTC,0.3,6,2.7,4820,10.5,6.5
2019,1,1,05:00,UTC,0.6,5,2.8,4434,12.2,6.7
2019,1,1,06:00,UTC,0.4,5,3.1,5704,11,7.5
2019,1,1,07:00,UTC,0.6,5,3.1,4614,9.6,5.8
2019,1,1,08:00,UTC,0.8,5,3.1,3363,10.3,6.4
2019,1,1,09:00,UTC,0.4,5,3.2,5921,9.4,6.1
2019,1,1,10:00,UTC,0,4,3.7,7012,10,5.7
2019,1,1,11:00,UTC,0,4,3.7,7755,6,4.4
2019,1,1,12:00,UTC,0,4,3.7,15695,5.5,3.7
2019,1,1,13:00,UTC,0,4,3.4,29569,8.6,5.4
2019,1,1,14:00,UTC,0.1,4,2.9,7615,6.3,3.4
2019,1,1,15:00,UTC,0,4,2.2,21756,4.7,3
2019,1,1,16:00,UTC,0,3,2.1,26853,4,2.8
2019,1,1,17:00,UTC,0,3,1.9,38897,4.4,3
2019,1,1,18:00,UTC,0,4,1.8,39814,3.5,2
2019,1,1,19:00,UTC,0,4,1,8403,1.6,0.9
2019,1,1,20:00,UTC,0,4,1.1,1513,0,0
2019,1,1,21:00,UTC,0,4,1,953,2.1,1.3
2019,1,1,22:00,UTC,0,4,1.3,12015,3.9,2.9
2019,1,1,23:00,UTC,0,4,1.3,12033,4.3,2.9
2019,1,2,00:00,UTC,0,4,1.5,21956,7.6,4.4
2019,1,2,01:00,UTC,0.3,4,1.2,9013,9.1,5.5
2019,1,2,02:00,UTC,0.5,4,0.8,5174,14.4,7.2
2019,1,2,03:00,UTC,0.5,4,0.3,1207,12.6,7.5
2019,1,2,04:00,UTC,0,4,-1.4,1896,17.7,11
2019,1,2,05:00,UTC,0,4,-1.8,20546,22.7,12
2019,1,2,06:00,UTC,0,4,-1.6,10923,18.5,9.7
2019,1,2,07:00,UTC,0.2,4,-2.4,1134,16.7,10.3
2019,1,2,08:00,UTC,0,4,-2.8,2368,19.5,10.2
2019,1,2,09:00,UTC,0,4,-3,7681,16.4,9.7
2019,1,2,10:00,UTC,0,4,-3.3,4052,17.6,10.3
2019,1,2,11:00,UTC,0,4,-3.7,2099,18,10.7
2019,1,2,12:00,UTC,0,4,-3.9,5816,16.7,9.9
2019,1,2,13:00,UTC,0,4,-3.9,27100,15.7,10.3
2019,1,2,14:00,UTC,0,4,-4.1,50000,17,11.2
2019,1,2,15:00,UTC,0,4,-5,50000,19.2,11.1
2019,1,2,16:00,UTC,0,4,-5.6,50000,18.3,10.5
2019,1,2,17:00,UTC,0,4,-6,50000,16.5,9.2
2019,1,2,18:00,UTC,0,4,-6.5,50000,14.4,9.1
2019,1,2,19:00,UTC,0,4,-6.7,50000,16.1,8.6
2019,1,2,20:00,UTC,0,4,-6.8,50000,14.1,8.1
2019,1,2,21:00,UTC,0,4,-6.9,50000,12.4,8
2019,1,2,22:00,UTC,0,4,-6.9,50000,13.4,7.5
2019,1,2,23:00,UTC,0,4,-7.3,50000,11.1,7.6
2019,1,3,00:00,UTC,0,4,-7.5,50000,13.5,6.3
2019,1,3,01:00,UTC,0,4,-7.8,50000,11.4,7.4
2019,1,3,02:00,UTC,0,4,-8.2,50000,10.7,6.6
2019,1,3,03:00,UTC,0,4,-8.5,50000,11.2,7.2
2019,1,3,04:00,UTC,0,4,-8.8,48265,9.1,5.8
2019,1,3,05:00,UTC,0,4,-8.9,50000,11.1,7.1
2019,1,3,06:00,UTC,0,4,-9.1,50000,9.9,6.2
2019,1,3,07:00,UTC,0,4,-9.2,47498,8.6,5.6
2019,1,3,08:00,UTC,0,4,-9.2,47005,9.3,5.5
2019,1,3,09:00,UTC,0,4,-9,47882,8.4,5.1
2019,1,3,10:00,UTC,0,4,-8.4,44250,9.3,5.2
2019,1,3,11:00,UTC,0,4,-8.1,46346,8,5
2019,1,3,12:00,UTC,0,4,-8,44106,7.1,4.2
2019,1,3,13:00,UTC,0,4,-8.6,46217,8.5,5.9
2019,1,3,14:00,UTC,0,4,-9.4,48713,6.7,4.1
2019,1,3,15:00,UTC,0,4,-10.2,47554,4.8,3.3
2019,1,3,16:00,UTC,0,4,-10.8,45849,4.6,3.2
2019,1,3,17:00,UTC,0,5,-11.5,44300,4.3,2.8
2019,1,3,18:00,UTC,0,4,-12.4,38678,3.4,2.6
2019,1,3,19:00,UTC,0,5,-12.9,27878,2.2,1.6
2019,1,3,20:00,UTC,0,5,-12.8,32003,2.1,1.4
2019,1,3,21:00,UTC,0,5,-13.1,29922,1.1,0.6
2019,1,3,22:00,UTC,0,5,-11.7,30767,1.9,1.2
2019,1,3,23:00,UTC,0,5,-10.1,34825,2.2,1.5
2019,1,4,00:00,UTC,0,5,-8.8,30492,3.4,2
2019,1,4,01:00,UTC,0,5,-7.4,6305,6,3.1
2019,1,4,02:00,UTC,0,5,-5.6,12778,5.6,3.8
2019,1,4,03:00,UTC,0,5,-2.2,1214,9.1,5
2019,1,4,04:00,UTC,0,5,-1.8,586,9.8,6.1
2019,1,4,05:00,UTC,1.1,5,-1.7,456,9.7,5.9
2019,1,4,06:00,UTC,0.1,6,-1.3,1111,10.4,6.9
2019,1,4,07:00,UTC,0,7,-0.6,2299,8.7,5.4
2019,1,4,08:00,UTC,0.5,7,0.2,6708,6.7,3.6
2019,1,4,09:00,UTC,0,7,0.5,3330,4.2,2.5
2019,1,4,10:00,UTC,0.5,7,0.3,2092,2.1,1.4
2019,1,4,11:00,UTC,0,7,0.8,7550,3.9,2.7
2019,1,4,12:00,UTC,0,7,0.6,6810,4.1,2.5
2019,1,4,13:00,UTC,0,7,0.6,4363,3.4,2.3
2019,1,4,14:00,UTC,0,7,0.9,18129,6.2,4.1
