Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Näkyvyys (m),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2017,1,1,00:00,UTC,0,0,2.6,32994,,
2017,1,1,01:00,UTC,0,0,2.1,45573,,
2017,1,1,02:00,UTC,0,0,1,37098,,
2017,1,1,03:00,UTC,0,0,0.8,43256,,
2017,1,1,04:00,UTC,0,0,0.4,43620,,
2017,1,1,05:00,UTC,0,0,-0.5,32105,,
2017,1,1,06:00,UTC,0,0,-0.2,32158,,
2017,1,1,07:00,UTC,0,0,-2.3,18400,,
2017,1,1,08:00,UTC,0,0,-2.6,17672,,
2017,1,1,09:00,UTC,0,0,-2.7,16173,,
2017,1,1,10:00,UTC,0,0,-2.3,16272,,
2017,1,1,11:00,UTC,0,0,-2.4,13990,,
2017,1,1,12:00,UTC,0,0,-1,16984,,
2017,1,1,13:00,UTC,0,0,-1.2,18432,,
2017,1,1,14:00,UTC,0,0,-1.5,4682,,
2017,1,1,15:00,UTC,0,0,-1.6,5829,,
2017,1,1,16:00,UTC,0,0,-0.7,10439,,
2017,1,1,17:00,UTC,0.4,0,-1,47962,,
2017,1,1,18:00,UTC,0,0,-1.8,39421,,
2017,1,1,19:00,UTC,0,0,-2.6,50000,,
2017,1,1,20:00,UTC,0,0,-3.6,49760,,
2017,1,1,21:00,UTC,0,0,-4.3,45169,,
2017,1,1,22:00,UTC,0,0,-4.7,48765,,
2017,1,1,23:00,UTC,0,0,-4.5,44451,,
2017,1,2,00:00,UTC,0,0,-4.6,44442,,
2017,1,2,01:00,UTC,0,0,-4.4,42586,,
2017,1,2,02:00,UTC,0,0,-4.2,45202,,
2017,1,2,03:00,UTC,0,0,-4.5,41330,,
2017,1,2,04:00,UTC,0,0,-4.6,34282,,
2017,1,2,05:00,UTC,0,0,-4.7,13985,,
2017,1,2,06:00,UTC,0,0,-4.6,13266,,
2017,1,2,07:00,UTC,0,0,-4.5,31011,,
2017,1,2,08:00,UTC,0,0,-4.3,25442,,
2017,1,2,09:00,UTC,0,0,-4.1,13688,,
2017,1,2,10:00,UTC,0,0,-4,11164,,
2017,1,2,11:00,UTC,0,0,-3.8,10898,,
2017,1,2,12:00,UTC,0,0,-3.7,7352,,
2017,1,2,13:00,UTC,0.2,0,-3.5,2299,,
