Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Näkyvyys (m),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2019,1,1,00:00,UTC,0.8,17,0.1,2116,,
2019,1,1,01:00,UTC,0.3,18,0.3,2539,,
2019,1,1,02:00,UTC,0.5,18,0.6,2053,,
2019,1,1,03:00,UTC,0,17,1,3782,,
2019,1,1,04:00,UTC,0,17,1.5,5488,,
2019,1,1,05:00,UTC,0.3,16,2,3550,,
2019,1,1,06:00,UTC,0,15,2,2626,,
2019,1,1,07:00,UTC,0.5,14,1.9,2614,,
2019,1,1,08:00,UTC,0,14,2.1,1806,,
2019,1,1,09:00,UTC,0.3,13,2.1,3134,,
2019,1,1,10:00,UTC,0.2,13,2.2,1867,,
2019,1,1,11:00,UTC,0,12,2.4,602,,
2019,1,1,12:00,UTC,0,12,2.6,1337,,
2019,1,1,13:00,UTC,0.5,12,2.4,1237,,
2019,1,1,14:00,UTC,0,12,1.9,10359,,
2019,1,1,15:00,UTC,0.4,12,0.9,9845,,
2019,1,1,16:00,UTC,0,12,0.7,3234,,
2019,1,1,17:00,UTC,0.3,12,0.8,5965,,
2019,1,1,18:00,UTC,0,12,0.5,9399,,
2019,1,1,19:00,UTC,0,12,0.4,8982,,
2019,1,1,20:00,UTC,0,12,0.4,1895,,
2019,1,1,21:00,UTC,0,12,0.5,4604,,
2019,1,1,22:00,UTC,0,11,0.5,2767,,
2019,1,1,23:00,UTC,0.4,11,0.5,2096,,
2019,1,2,00:00,UTC,0.2,11,0.5,2694,,
2019,1,2,01:00,UTC,0.5,11,0.3,1575,,
2019,1,2,02:00,UTC,0.5,13,-0.4,710,,
2019,1,2,03:00,UTC,0,15,-2.4,1897,,
2019,1,2,04:00,UTC,1.4,16,-3,781,,
2019,1,2,05:00,UTC,1.7,17,-3.1,624,,
2019,1,2,06:00,UTC,0.5,18,-3.1,1796,,
2019,1,2,07:00,UTC,0,18,-3.5,6002,,
2019,1,2,08:00,UTC,0,18,-4.1,5113,,
2019,1,2,09:00,UTC,0,19,-4.3,5507,,
2019,1,2,10:00,UTC,0,19,-4.4,8205,,
2019,1,2,11:00,UTC,0,19,-4.9,3246,,
2019,1,2,12:00,UTC,0,19,-5.1,7416,,
2019,1,2,13:00,UTC,0,19,-5.3,50000,,
2019,1,2,14:00,UTC,0,19,-6.3,50000,,
2019,1,2,15:00,UTC,0,19,-7,50000,,
2019,1,2,16:00,UTC,0,19,-7.6,50000,,
2019,1,2,17:00,UTC,0,19,-8.1,50000,,
2019,1,2,18:00,UTC,0,19,-8.1,50000,,
2019,1,2,19:00,UTC,0,19,-8.2,50000,,
2019,1,2,20:00,UTC,0,19,-8.4,50000,,
2019,1,2,21:00,UTC,0,19,-8.6,50000,,
2019,1,2,22:00,UTC,0,19,-8.7,50000,,
2019,1,2,23:00,UTC,0,19,-9.1,50000,,
2019,1,3,00:00,UTC,0,18,-9.5,50000,,
2019,1,3,01:00,UTC,0,18,-9.8,50000,,
2019,1,3,02:00,UTC,0,18,-10.1,50000,,
2019,1,3,03:00,UTC,0,18,-10.3,50000,,
2019,1,3,04:00,UTC,0,18,-10.5,50000,,
2019,1,3,05:00,UTC,0,18,-11,50000,,
2019,1,3,06:00,UTC,0,18,-11.5,50000,,
2019,1,3,07:00,UTC,0,18,-11.6,46511,,
2019,1,3,08:00,UTC,0,18,-12.1,50000,,
2019,1,3,09:00,UTC,0,18,-11.9,46081,,
2019,1,3,10:00,UTC,0,18,-11.5,42649,,
2019,1,3,11:00,UTC,0,18,-11.2,46344,,
2019,1,3,12:00,UTC,0,18,-11.2,50000,,
2019,1,3,13:00,UTC,0,18,-11.6,50000,,
2019,1,3,14:00,UTC,0,18,-12.6,41914,,
2019,1,3,15:00,UTC,0,18,-14.2,24523,,
2019,1,3,16:00,UTC,0,18,-15.4,14159,,
2019,1,3,17:00,UTC,0,18,-16.7,13386,,
2019,1,3,18:00,UTC,0,18,-17.3,27437,,
2019,1,3,19:00,UTC,0,18,-17.6,19171,,
2019,1,3,20:00,UTC,0,18,-17.6,20708,,
2019,1,3,21:00,UTC,0,18,-15.6,32407,,
2019,1,3,22:00,UTC,0,18,-13.9,32256,,
2019,1,3,23:00,UTC,0,18,-12.6,39661,,
2019,1,4,00:00,UTC,0,18,-11.3,35589,,
2019,1,4,01:00,UTC,0,18,-9.6,21304,,
2019,1,4,02:00,UTC,0.2,18,-8.8,1084,,
2019,1,4,03:00,UTC,1.1,18,-7,760,,
2019,1,4,04:00,UTC,0.5,20,-5.2,940,,
2019,1,4,05:00,UTC,0.1,21,-4,2222,,
2019,1,4,06:00,UTC,0,21,-3.2,1540,,
2019,1,4,07:00,UTC,0.4,21,-2.8,5010,,
2019,1,4,08:00,UTC,0,21,-2.5,2685,,
2019,1,4,09:00,UTC,0,21,-2.3,1288,,
2019,1,4,10:00,UTC,0,21,-1.6,5959,,
2019,1,4,11:00,UTC,0,21,-0.9,15533,,
2019,1,4,12:00,UTC,0,21,-0.8,4289,,
2019,1,4,13:00,UTC,0,21,-0.4,4518,,
2019,1,4,14:00,UTC,0,21,-0.5,18517,,
2019,1,4,15:00,UTC,0,21,-0.9,7847,,
2019,1,4,16:00,UTC,0,21,-1.1,35835,,
2019,1,4,17:00,UTC,0,21,-1.4,37071,,
2019,1,4,18:00,UTC,0,20,-1.7,11140,,
2019,1,4,19:00,UTC,0,20,-2.1,27200,,
2019,1,4,20:00,UTC,0,20,-3,50000,,
2019,1,4,21:00,UTC,0,20,-3.3,50000,,
2019,1,4,22:00,UTC,0,20,-4.3,50000,,
2019,1,4,23:00,UTC,0,20,-4.6,39497,,
2019,1,5,00:00,UTC,0,20,-4.8,26818,,
2019,1,5,01:00,UTC,0,20,-4.9,48786,,
2019,1,5,02:00,UTC,0,20,-5.2,45626,,
2019,1,5,03:00,UTC,0,20,-5.6,23901,,
2019,1,5,04:00,UTC,0,20,-5.7,38447,,
2019,1,5,05:00,UTC,0,20,-5.8,36415,,
2019,1,5,06:00,UTC,0,20,-6,35146,,
2019,1,5,07:00,UTC,0,20,-6.1,33834,,
2019,1,5,08:00,UTC,0,20,-6.1,35262,,
2019,1,5,09:00,UTC,0,20,-6,35716,,
2019,1,5,10:00,UTC,0,20,-5.8,38058,,
2019,1,5,11:00,UTC,0,20,-5.6,25065,,
2019,1,5,12:00,UTC,0,20,-5.6,10633,,
2019,1,5,13:00,UTC,0,20,-5.9,31512,,
2019,1,5,14:00,UTC,0,20,-6.1,3188,,
2019,1,5,15:00,UTC,0,20,-6.1,40266,,
2019,1,5,16:00,UTC,0,20,-6.3,50000,,
2019,1,5,17:00,UTC,0,20,-6.5,38214,,
2019,1,5,18:00,UTC,0.3,20,-6.8,2000,,
2019,1,5,19:00,UTC,0.4,20,-7.3,648,,
2019,1,5,20:00,UTC,0,20,-7.3,16371,,
2019,1,5,21:00,UTC,0,20,-7.3,9651,,
2019,1,5,22:00,UTC,0.4,20,-7.6,1665,,
2019,1,5,23:00,UTC,0,21,-7.6,2645,,
2019,1,6,00:00,UTC,0,21,-7.8,43834,,
2019,1,6,01:00,UTC,0,20,-8,45725,,
2019,1,6,02:00,UTC,0,20,-8,50000,,
2019,1,6,03:00,UTC,0,20,-7.8,50000,,
2019,1,6,04:00,UTC,0,20,-7.6,50000,,
2019,1,6,05:00,UTC,0,20,-7.5,50000,,
2019,1,6,06:00,UTC,0,20,-7.3,50000,,
2019,1,6,07:00,UTC,0,20,-7.1,50000,,
2019,1,6,08:00,UTC,0,20,-6.7,49298,,
2019,1,6,09:00,UTC,0,20,-6.2,50000,,
2019,1,6,10:00,UTC,0,20,-5.4,50000,,
2019,1,6,11:00,UTC,0,20,-4.5,50000,,
2019,1,6,12:00,UTC,0,20,-4.1,50000,,
2019,1,6,13:00,UTC,0,20,-3.9,50000,,
2019,1,6,14:00,UTC,0,20,-3.7,50000,,
2019,1,6,15:00,UTC,0,20,-3.2,50000,,
2019,1,6,16:00,UTC,0,20,-2.8,50000,,
2019,1,6,17:00,UTC,0,20,-2.5,17602,,
2019,1,6,18:00,UTC,0,20,-2.2,39208,,
2019,1,6,19:00,UTC,0,20,-1.7,9970,,
2019,1,6,20:00,UTC,0,20,-1.2,10973,,
2019,1,6,21:00,UTC,0,20,-0.8,12776,,
2019,1,6,22:00,UTC,0,20,-0.4,6310,,
2019,1,6,23:00,UTC,0,20,-0.1,7270,,
2019,1,7,00:00,UTC,0,20,0.2,11955,,
2019,1,7,01:00,UTC,0.5,20,0.3,3152,,
2019,1,7,02:00,UTC,0.3,20,0.5,5864,,
2019,1,7,03:00,UTC,0,20,0.6,1072,,
2019,1,7,04:00,UTC,0,20,0.7,2859,,
2019,1,7,05:00,UTC,0,20,0.8,1097,,
2019,1,7,06:00,UTC,0,20,0.9,1468,,
2019,1,7,07:00,UTC,0,19,0.9,1964,,
2019,1,7,08:00,UTC,0,19,1.1,2994,,
2019,1,7,09:00,UTC,0,19,1.2,4041,,
2019,1,7,10:00,UTC,0,19,1.5,10822,,
2019,1,7,11:00,UTC,0,19,1.1,39611,,
2019,1,7,12:00,UTC,0,19,0.8,46971,,
2019,1,7,13:00,UTC,0,19,0.5,41903,,
2019,1,7,14:00,UTC,0,19,0.3,38778,,
2019,1,7,15:00,UTC,0,19,-0.1,33198,,
2019,1,7,16:00,UTC,0,19,-0.3,39901,,
2019,1,7,17:00,UTC,0,19,-0.3,35212,,
2019,1,7,18:00,UTC,0,19,-0.4,31684,,
2019,1,7,19:00,UTC,0,19,-0.3,33630,,
2019,1,7,20:00,UTC,0,19,-0.7,30785,,
2019,1,7,21:00,UTC,0,18,-0.8,21808,,
2019,1,7,22:00,UTC,0,18,-0.9,17773,,
2019,1,7,23:00,UTC,0,19,-0.9,12250,,
2019,1,8,00:00,UTC,0,18,-1,8962,,
2019,1,8,01:00,UTC,0,18,-1.2,5673,,
2019,1,8,02:00,UTC,0,18,-1.3,1335,,
2019,1,8,03:00,UTC,0.5,18,-1.2,2857,,
2019,1,8,04:00,UTC,0.3,18,-1.2,2390,,
2019,1,8,05:00,UTC,0.8,19,-1,1596,,
2019,1,8,06:00,UTC,1.3,21,-0.8,998,,
2019,1,8,07:00,UTC,0.1,22,-0.7,4848,,
2019,1,8,08:00,UTC,0.2,23,-0.5,3550,,
2019,1,8,09:00,UTC,0.8,23,0,2152,,
2019,1,8,10:00,UTC,0.5,24,0.3,2712,,
2019,1,8,11:00,UTC,0.2,24,0.3,3657,,
2019,1,8,12:00,UTC,0.5,24,0.2,3197,,
2019,1,8,13:00,UTC,0.7,25,0.2,1934,,
2019,1,8,14:00,UTC,0.4,25,0.1,3565,,
2019,1,8,15:00,UTC,0.4,25,0,2456,,
2019,1,8,16:00,UTC,0.2,25,-0.1,2740,,
2019,1,8,17:00,UTC,0.5,25,-0.2,2326,,
2019,1,8,18:00,UTC,0.3,26,-0.4,5135,,
2019,1,8,19:00,UTC,0.5,26,-0.5,3964,,
2019,1,8,20:00,UTC,0.3,26,-0.6,3661,,
2019,1,8,21:00,UTC,0.5,26,-0.6,2178,,
2019,1,8,22:00,UTC,0.5,27,-0.7,2208,,
2019,1,8,23:00,UTC,0.2,27,-1.1,2426,,
2019,1,9,00:00,UTC,0.2,26,-1.4,2337,,
2019,1,9,01:00,UTC,0.5,29,-1.6,1727,,
2019,1,9,02:00,UTC,0.5,29,-1.9,2501,,
2019,1,9,03:00,UTC,0.4,30,-2.1,2693,,
2019,1,9,04:00,UTC,0.5,30,-2.3,2684,,
2019,1,9,05:00,UTC,0.5,30,-2.4,3276,,
2019,1,9,06:00,UTC,0.5,30,-2.5,3619,,
2019,1,9,07:00,UTC,0.3,30,-2.7,4818,,
2019,1,9,08:00,UTC,0,30,-2.8,7969,,
2019,1,9,09:00,UTC,0,30,-2.8,7275,,
2019,1,9,10:00,UTC,0,30,-2.8,16246,,
2019,1,9,11:00,UTC,0,30,-2.3,19186,,
2019,1,9,12:00,UTC,0,30,-2.5,5512,,
2019,1,9,13:00,UTC,0,30,-4,9107,,
2019,1,9,14:00,UTC,0,30,-5.1,22179,,
2019,1,9,15:00,UTC,0,30,-4.6,26348,,
2019,1,9,16:00,UTC,0,30,-4.2,28984,,
2019,1,9,17:00,UTC,0,30,-4,1513,,
2019,1,9,18:00,UTC,0,30,-4,24736,,
2019,1,9,19:00,UTC,0,30,-3.8,16819,,
2019,1,9,20:00,UTC,0,30,-3.7,46506,,
2019,1,9,21:00,UTC,0,30,-3.8,36265,,
2019,1,9,22:00,UTC,0,30,-4.1,30958,,
2019,1,9,23:00,UTC,0,30,-4.3,29613,,
2019,1,10,00:00,UTC,0,30,-4.6,28167,,
2019,1,10,01:00,UTC,0,29,-5.2,32563,,
2019,1,10,02:00,UTC,0,29,-5.7,3695,,
2019,1,10,03:00,UTC,0,29,-6.4,6655,,
2019,1,10,04:00,UTC,1.7,30,-6.7,730,,
2019,1,10,05:00,UTC,1.1,31,-7.1,810,,
2019,1,10,06:00,UTC,0.9,31,-7.6,616,,
2019,1,10,07:00,UTC,0.8,32,-7.6,704,,
2019,1,10,08:00,UTC,0.2,32,-7.9,1154,,
2019,1,10,09:00,UTC,0,32,-7.9,33599,,
2019,1,10,10:00,UTC,0,32,-7.8,27548,,
2019,1,10,11:00,UTC,0,32,-8.1,28699,,
2019,1,10,12:00,UTC,0,32,-7.7,23740,,
2019,1,10,13:00,UTC,0,32,-7.8,27691,,
2019,1,10,14:00,UTC,0,32,-8.4,22150,,
2019,1,10,15:00,UTC,0,32,-8.2,15102,,
2019,1,10,16:00,UTC,0,32,-8,18413,,
2019,1,10,17:00,UTC,0,31,-7.6,26864,,
2019,1,10,18:00,UTC,0,31,-6.9,21461,,
2019,1,10,19:00,UTC,0,31,-5.9,29585,,
2019,1,10,20:00,UTC,0,31,-4.7,41727,,
2019,1,10,21:00,UTC,0,31,-3.2,24706,,
2019,1,10,22:00,UTC,0,31,-2.3,15229,,
2019,1,10,23:00,UTC,0.2,31,-1.6,3823,,
2019,1,11,00:00,UTC,0,31,-0.7,6092,,
2019,1,11,01:00,UTC,0.6,31,-0.4,2013,,
2019,1,11,02:00,UTC,0.2,31,-0.2,1984,,
2019,1,11,03:00,UTC,0.3,31,0.2,3009,,
2019,1,11,04:00,UTC,0,30,0.4,7812,,
2019,1,11,05:00,UTC,0,30,0.7,27000,,
2019,1,11,06:00,UTC,0,31,0.6,22398,,
2019,1,11,07:00,UTC,0,30,0.5,18869,,
2019,1,11,08:00,UTC,0,30,0.6,20971,,
2019,1,11,09:00,UTC,0,30,0.8,31033,,
2019,1,11,10:00,UTC,0,30,0.6,34067,,
2019,1,11,11:00,UTC,0,30,0.8,40099,,
2019,1,11,12:00,UTC,0,30,0.8,43982,,
2019,1,11,13:00,UTC,0,30,0.4,43477,,
2019,1,11,14:00,UTC,0,30,0.2,47629,,
2019,1,11,15:00,UTC,0,30,-0.1,42386,,
2019,1,11,16:00,UTC,0,30,0,46310,,
2019,1,11,17:00,UTC,0,30,-0.2,46598,,
2019,1,11,18:00,UTC,0,30,-0.1,49244,,
2019,1,11,19:00,UTC,0,30,0.3,45323,,
2019,1,11,20:00,UTC,0,29,0.6,44797,,
2019,1,11,21:00,UTC,0,29,0.4,45687,,
2019,1,11,22:00,UTC,0,29,0.3,48235,,
