Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Näkyvyys (m),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2017,1,1,00:00,UTC,0,,0.8,1092,6.1,2.9
2017,1,1,01:00,UTC,0,,0,1663,4.2,2.6
2017,1,1,02:00,UTC,0,,-0.6,4039,4.1,1.9
2017,1,1,03:00,UTC,0,,-0.5,5064,2.5,1.3
2017,1,1,04:00,UTC,0,,-0.8,5126,3.1,1.8
2017,1,1,05:00,UTC,0,,-1.1,5418,2.9,1.9
2017,1,1,06:00,UTC,0,,-1.2,9397,2.4,1.3
2017,1,1,07:00,UTC,0,,-1.5,9319,2.8,1.9
2017,1,1,08:00,UTC,0,,-1.2,10898,3.4,1.9
2017,1,1,09:00,UTC,0,,-1,10538,1.7,1.2
2017,1,1,10:00,UTC,0,,-0.5,9982,2.9,1.7
2017,1,1,11:00,UTC,0,,-0.6,12034,3.6,2
2017,1,1,12:00,UTC,0,,-1.5,16985,2.2,1.6
2017,1,1,13:00,UTC,0,,-2.2,18975,3.4,2.3
2017,1,1,14:00,UTC,0,,-1.9,17159,4.2,2.3
2017,1,1,15:00,UTC,0,,-2.2,17266,3.6,2.4
2017,1,1,16:00,UTC,0,,-1.9,13876,3,1.8
2017,1,1,17:00,UTC,0,,-1.2,24908,4.5,2.3
2017,1,1,18:00,UTC,0,,-1.3,8236,5.7,2.7
2017,1,1,19:00,UTC,0,,-2,50000,4.8,2.7
2017,1,1,20:00,UTC,0,,-3,50000,4.7,2.3
2017,1,1,21:00,UTC,0,,-4,50000,3.2,1.9
2017,1,1,22:00,UTC,0,,-4.8,50000,3.8,2.1
2017,1,1,23:00,UTC,0,,-5.1,40864,5.5,2.4
2017,1,2,00:00,UTC,0,,-5,45716,4.4,2.3
2017,1,2,01:00,UTC,0,,-4.9,42245,5,2.6
2017,1,2,02:00,UTC,0,,-5.2,40681,3.2,1.6
2017,1,2,03:00,UTC,0,,-4.8,45530,5.1,2.4
2017,1,2,04:00,UTC,0,,-4.6,46586,4.8,2.5
2017,1,2,05:00,UTC,0,,-4.5,48740,3.7,1.4
2017,1,2,06:00,UTC,0,,-4.3,40459,2.6,1.3
2017,1,2,07:00,UTC,0,,-4.5,29972,1.9,1
2017,1,2,08:00,UTC,0,,-4.4,42968,2,1.4
2017,1,2,09:00,UTC,0,,-4.1,38222,1.8,1
2017,1,2,10:00,UTC,0,,-3.8,37191,2.9,1.8
2017,1,2,11:00,UTC,0,,-3.7,23147,2.5,1.4
2017,1,2,12:00,UTC,0.7,,-3.7,3721,1.7,1
2017,1,2,13:00,UTC,0.5,,-3.8,2089,2,1.1
2017,1,2,14:00,UTC,0.3,0,-3.9,2067,2.9,1.5
2017,1,2,15:00,UTC,0.7,0,-4,4326,2.7,1.3
2017,1,2,16:00,UTC,0.6,0,-4,1980,2.4,1.4
2017,1,2,17:00,UTC,0.6,0,-4.3,1827,5.4,3.5
2017,1,2,18:00,UTC,0.1,0,-4.7,1297,4.7,3.1
2017,1,2,19:00,UTC,0.5,2,-5.1,1692,4.2,2.5
2017,1,2,20:00,UTC,0.1,2,-5.6,1145,4.6,2.8
2017,1,2,21:00,UTC,0.2,4,-6,2976,4.5,2.6
2017,1,2,22:00,UTC,0.1,4,-6.1,2356,5.1,2.9
2017,1,2,23:00,UTC,0,3,-6.4,3958,4.3,2.5
2017,1,3,00:00,UTC,0,4,-7,9069,5,3
2017,1,3,01:00,UTC,0,4,-7.3,5324,4.5,2.6
2017,1,3,02:00,UTC,0,3,-7,2679,3.8,2
2017,1,3,03:00,UTC,0,5,-7.3,3222,4,1.9
2017,1,3,04:00,UTC,0,4,-7.3,5811,5.2,2.6
2017,1,3,05:00,UTC,0,3,-7.9,7057,3,1.6
2017,1,3,06:00,UTC,0,4,-8.5,27669,2.9,1.7
2017,1,3,07:00,UTC,0,4,-8.1,31514,2.8,1.7
2017,1,3,08:00,UTC,0,4,-7.9,11665,3.1,1.8
2017,1,3,09:00,UTC,0,3,-7.5,23722,2.8,1.2
2017,1,3,10:00,UTC,0,3,-7.3,27129,2.6,1.7
2017,1,3,11:00,UTC,0,4,-7.2,28119,2.6,1.4
2017,1,3,12:00,UTC,0,3,-7.7,27252,2.3,1.3
2017,1,3,13:00,UTC,0,3,-8.2,30748,1.8,1.3
2017,1,3,14:00,UTC,0,3,-9.9,29695,3.2,2.1
2017,1,3,15:00,UTC,0,3,-10.1,29123,3.1,2.1
2017,1,3,16:00,UTC,0,3,-10.9,29402,3.6,2.4
2017,1,3,17:00,UTC,0,3,-10.6,29912,3.5,2.5
2017,1,3,18:00,UTC,0,3,-8.4,26196,4,2.2
2017,1,3,19:00,UTC,0,3,-8.2,27512,5.4,3.3
2017,1,3,20:00,UTC,0,3,-7.3,28785,3.1,2.2
2017,1,3,21:00,UTC,0,3,-8.6,30277,2.3,1.6
2017,1,3,22:00,UTC,0,3,-8.2,20422,6.1,3.8
2017,1,3,23:00,UTC,0.7,3,-6.1,315,9.3,4.6
2017,1,4,00:00,UTC,0.8,6,-5.7,1301,11.6,6.1
2017,1,4,01:00,UTC,0.7,5,-7.1,1858,9.2,5
2017,1,4,02:00,UTC,0,5,-7.9,2097,11.9,6.3
2017,1,4,03:00,UTC,0,6,-9.2,1761,11,5.3
2017,1,4,04:00,UTC,0,6,-10.1,2675,11.3,6.5
2017,1,4,05:00,UTC,0,7,-11.1,1692,10.2,5.6
2017,1,4,06:00,UTC,0,6,-12,6447,11.2,6.1
2017,1,4,07:00,UTC,0,7,-12.5,3342,12.2,6.4
2017,1,4,08:00,UTC,0,7,-11.8,3212,12.8,6.5
2017,1,4,09:00,UTC,0,7,-11.8,2601,13.2,7.2
2017,1,4,10:00,UTC,0.5,7,-13.4,3194,13.8,7.4
2017,1,4,11:00,UTC,0,7,-14.7,13649,15.4,6.7
2017,1,4,12:00,UTC,0,7,-15.2,32653,10.7,5.2
2017,1,4,13:00,UTC,0,7,-16,37018,9.3,4.7
2017,1,4,14:00,UTC,0,7,-17,25090,10.4,6.2
2017,1,4,15:00,UTC,0,7,-18.2,18537,10.6,5.2
2017,1,4,16:00,UTC,0,6,-18.9,21755,10.5,5.6
2017,1,4,17:00,UTC,0,6,-19.3,35714,10,4.9
2017,1,4,18:00,UTC,0,6,-19.4,48423,10.8,5.2
2017,1,4,19:00,UTC,0,6,-19.3,42976,8.9,5.1
2017,1,4,20:00,UTC,0,6,-19.1,45323,8.6,4.7
2017,1,4,21:00,UTC,0,6,-18.9,50000,8.9,4.4
2017,1,4,22:00,UTC,0,6,-18.7,40124,10.4,4.4
2017,1,4,23:00,UTC,0,6,-18.4,50000,9.7,4.3
2017,1,5,00:00,UTC,0,6,-18.9,3996,7.7,3.9
2017,1,5,01:00,UTC,0,6,-18.6,1148,7.1,3.8
2017,1,5,02:00,UTC,0,6,-18.3,1427,9.4,4.8
2017,1,5,03:00,UTC,0,6,-18.5,38442,8,4.3
2017,1,5,04:00,UTC,0,6,-18.7,10717,8,4
2017,1,5,05:00,UTC,0,6,-19,2797,7.1,3.3
2017,1,5,06:00,UTC,0,6,-18.9,1828,7.3,4.1
2017,1,5,07:00,UTC,0,6,-18.9,2355,7.3,3.4
2017,1,5,08:00,UTC,0,6,-18.5,3077,6.7,3.5
2017,1,5,09:00,UTC,0,6,-18,3907,6.9,3.4
2017,1,5,10:00,UTC,0,5,-17.4,24793,7,3.9
2017,1,5,11:00,UTC,0,5,-17,50000,9.2,4.2
2017,1,5,12:00,UTC,0,5,-17,30388,7.8,3.8
2017,1,5,13:00,UTC,0,5,-17.3,50000,6.5,3.8
2017,1,5,14:00,UTC,0,5,-17.8,50000,6,3.3
2017,1,5,15:00,UTC,0,5,-17.9,50000,5.9,3.2
2017,1,5,16:00,UTC,0,5,-18.7,50000,5.5,3.1
2017,1,5,17:00,UTC,0,5,-18.9,50000,6,3.6
2017,1,5,18:00,UTC,0,5,-19.6,50000,4.3,2.6
2017,1,5,19:00,UTC,0,5,-20.3,50000,4.8,3.3
