Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Näkyvyys (m),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2017,1,1,00:00,UTC,0,0,0.5,37890,3.6,1.2
2017,1,1,01:00,UTC,0,0,0.6,37720,3.4,1.5
2017,1,1,02:00,UTC,0,0,-0.3,41040,2.7,1.2
2017,1,1,03:00,UTC,0,0,-2.4,42320,2,1.1
2017,1,1,04:00,UTC,0,0,-3,37360,1.9,1.1
2017,1,1,05:00,UTC,0,0,-3.3,32120,2,1.2
2017,1,1,06:00,UTC,0,0,-2.8,43720,1,0
2017,1,1,07:00,UTC,0,0,-2.7,40370,1.6,0.8
2017,1,1,08:00,UTC,0,0,-4.2,36660,1.2,0.6
2017,1,1,09:00,UTC,0,0,-3.5,33160,1.3,0
2017,1,1,10:00,UTC,0,0,-1.7,38770,0.5,0
2017,1,1,11:00,UTC,0,0,-1.1,30430,1.2,0
2017,1,1,12:00,UTC,0,0,-0.6,6030,0.1,0
2017,1,1,13:00,UTC,0,0,-0.2,4130,2.5,0.7
2017,1,1,14:00,UTC,0,0,-0.5,4250,2.3,0.7
2017,1,1,15:00,UTC,0,0,-0.9,26460,3.2,1.3
2017,1,1,16:00,UTC,0,0,-1.7,50000,5.1,1.6
2017,1,1,17:00,UTC,0,0,-1.9,50000,5.9,2
2017,1,1,18:00,UTC,0,0,-1.6,50000,5.2,2
2017,1,1,19:00,UTC,0,0,-2.1,50000,4.5,2
2017,1,1,20:00,UTC,0,0,-2.8,50000,5.2,2
2017,1,1,21:00,UTC,0,0,-3.1,50000,5.3,2.2
2017,1,1,22:00,UTC,0,0,-3.7,50000,3.5,1.5
2017,1,1,23:00,UTC,0,0,-3.6,50000,3.5,1.2
2017,1,2,00:00,UTC,0,0,-3.5,44480,3.2,1.1
2017,1,2,01:00,UTC,0,0,-3.3,39230,4.1,1.4
2017,1,2,02:00,UTC,0,0,-3.5,50000,2.1,0.8
2017,1,2,03:00,UTC,0,0,-3.2,41160,3,1.3
2017,1,2,04:00,UTC,0,0,-3.2,21620,2.6,0.9
2017,1,2,05:00,UTC,0,0,-3.3,23250,2.2,0.9
2017,1,2,06:00,UTC,0,0,-3.2,17480,1.6,0.6
2017,1,2,07:00,UTC,0,0,-3.1,15920,2.6,0.8
2017,1,2,08:00,UTC,0,0,-2.9,45470,1.7,0.8
2017,1,2,09:00,UTC,0,0,-3.4,43810,4.1,1.4
2017,1,2,10:00,UTC,0,0,-3.8,50000,1.6,0
2017,1,2,11:00,UTC,0,0,-3.9,50000,2.2,0.7
2017,1,2,12:00,UTC,0,0,-4.1,50000,2.4,0.7
2017,1,2,13:00,UTC,0,0,-4.3,50000,2.6,1.1
2017,1,2,14:00,UTC,0,0,-4.5,50000,2.5,0.8
2017,1,2,15:00,UTC,0,0,-4.6,47150,2.6,0.7
2017,1,2,16:00,UTC,0,0,-5,50000,2.6,1
2017,1,2,17:00,UTC,0,0,-5.2,50000,4.5,1.1
2017,1,2,18:00,UTC,0,0,-5.4,50000,3,0.9
2017,1,2,19:00,UTC,0,0,-5.3,39450,3.5,1.3
2017,1,2,20:00,UTC,0,0,-5.6,5580,2.1,0.8
2017,1,2,21:00,UTC,0,0,-5.9,47870,2.1,0.6
2017,1,2,22:00,UTC,0,0,-6.2,50000,1.4,0.7
2017,1,2,23:00,UTC,0,0,-6.4,41840,2.7,1.1
2017,1,3,00:00,UTC,0,0,-6.7,50000,3,1.1
2017,1,3,01:00,UTC,0,0,-6.9,8760,3.1,1.1
2017,1,3,02:00,UTC,0,0,-7.1,5310,2.1,0.9
2017,1,3,03:00,UTC,0.5,0,-7.4,3190,2.3,0.8
2017,1,3,04:00,UTC,0,0,-7.8,2820,2.5,0.8
2017,1,3,05:00,UTC,0,0,-7.9,2410,1.9,0.7
2017,1,3,06:00,UTC,0,0,-8,2750,1.6,0.5
2017,1,3,07:00,UTC,0,0,-8.1,3060,2.2,1.1
2017,1,3,08:00,UTC,0,0,-8.1,2450,2.1,0.9
2017,1,3,09:00,UTC,0.4,0,-7.9,1270,2.2,0.9
2017,1,3,10:00,UTC,0,0,-7.5,1340,2.6,0.6
2017,1,3,11:00,UTC,0.4,7,-7.4,520,2.8,1.1
2017,1,3,12:00,UTC,0.1,8,-7.5,1510,1.7,0.6
2017,1,3,13:00,UTC,0.5,10,-7.5,810,1.2,0.5
2017,1,3,14:00,UTC,0.6,11,-7.7,650,2.1,0.8
2017,1,3,15:00,UTC,0.5,11,-7.9,1090,2.6,1.3
2017,1,3,16:00,UTC,0.5,13,-7.9,1770,2.6,1.3
2017,1,3,17:00,UTC,0.5,14,-8,1000,1.4,0.7
2017,1,3,18:00,UTC,0,15,-8.5,2290,1.9,0.5
2017,1,3,19:00,UTC,0,15,-8.8,9420,2.5,0.9
2017,1,3,20:00,UTC,0,14,-9.1,9090,3.2,0.9
2017,1,3,21:00,UTC,0,14,-9.5,5850,4,1.1
2017,1,3,22:00,UTC,0,12,-9.3,10920,4.3,1.2
2017,1,3,23:00,UTC,0,12,-9.6,11420,4.4,1.8
2017,1,4,00:00,UTC,0,11,-10.2,44650,4.2,1.3
2017,1,4,01:00,UTC,0,12,-10.2,44790,5,1.5
2017,1,4,02:00,UTC,0,12,-10.8,50000,6.7,1.8
2017,1,4,03:00,UTC,0,12,-11.5,6500,2.2,1
2017,1,4,04:00,UTC,0,11,-11.8,3420,2.6,0.9
2017,1,4,05:00,UTC,0,10,-11.1,6680,3.6,1.5
2017,1,4,06:00,UTC,0,12,-12.1,4000,4.7,1.9
2017,1,4,07:00,UTC,0,11,-13,14440,5.8,2.1
2017,1,4,08:00,UTC,0,12,-14.9,28290,6.2,2.2
2017,1,4,09:00,UTC,0,11,-15.5,50000,7.5,1.3
2017,1,4,10:00,UTC,0,11,-15.7,50000,6.5,2.3
2017,1,4,11:00,UTC,0,11,-16.1,50000,5,2.4
2017,1,4,12:00,UTC,0,11,-16.8,33750,5.9,2.4
2017,1,4,13:00,UTC,0,11,-17.6,50000,5.9,2
2017,1,4,14:00,UTC,0,10,-18.4,29700,7.1,2.6
2017,1,4,15:00,UTC,0,10,-18.7,50000,6.7,1.9
2017,1,4,16:00,UTC,0,10,-18.5,48480,5.3,2.4
2017,1,4,17:00,UTC,0,10,-18.5,50000,7.4,2.6
2017,1,4,18:00,UTC,0,10,-19.4,50000,4,1.3
2017,1,4,19:00,UTC,0,10,-18.9,42690,4.7,1.9
2017,1,4,20:00,UTC,0,10,-19.2,50000,4.2,1.6
2017,1,4,21:00,UTC,0,10,-19.3,50000,4.6,1.7
2017,1,4,22:00,UTC,0,9,-19.3,50000,4.7,1.9
2017,1,4,23:00,UTC,0,9,-19.5,50000,5,1.6
2017,1,5,00:00,UTC,0,9,-19.6,50000,3.9,1.4
2017,1,5,01:00,UTC,0,9,-19.3,50000,4.3,1.6
2017,1,5,02:00,UTC,0,9,-18.8,50000,4,1.6
2017,1,5,03:00,UTC,0,9,-18.6,50000,7.5,1.9
2017,1,5,04:00,UTC,0,9,-18.8,50000,4.8,1.6
2017,1,5,05:00,UTC,0,9,-19.2,50000,4.7,1.7
2017,1,5,06:00,UTC,0,9,-19,50000,5,1.6
2017,1,5,07:00,UTC,0,9,-18.8,50000,4.7,1.6
2017,1,5,08:00,UTC,0,9,-18.6,50000,4.2,1.4
2017,1,5,09:00,UTC,0,8,-18.3,50000,4.5,1.3
2017,1,5,10:00,UTC,0,8,-17.8,50000,4.1,1.3
2017,1,5,11:00,UTC,0,8,-17.4,50000,4.3,1.7
2017,1,5,12:00,UTC,0,8,-17.2,50000,4.7,1.7
2017,1,5,13:00,UTC,0,8,-17.6,50000,3.5,1.2
2017,1,5,14:00,UTC,0,8,-17.8,50000,4.1,1.3
2017,1,5,15:00,UTC,0,8,-18.2,50000,3.7,1.3
2017,1,5,16:00,UTC,0,8,-18.6,50000,4.2,1
2017,1,5,17:00,UTC,0,8,-19.1,50000,2.7,0.9
2017,1,5,18:00,UTC,0,8,-19.4,32820,2.4,0.7
2017,1,5,19:00,UTC,0,8,-20.2,50000,1.7,0
2017,1,5,20:00,UTC,0,8,-21,4600,1,0
2017,1,5,21:00,UTC,0,8,-22,4600,0.9,0
2017,1,5,22:00,UTC,0,8,-20.6,27740,1.7,0.5
2017,1,5,23:00,UTC,0,8,-22.4,3820,0.4,0
2017,1,6,00:00,UTC,0,8,-20.3,15100,2.3,0.9
2017,1,6,01:00,UTC,0,8,-21.5,12970,1.6,0.6
2017,1,6,02:00,UTC,0,8,-23.6,50000,1.2,0.5
2017,1,6,03:00,UTC,0,8,-24.2,48920,0.5,0
2017,1,6,04:00,UTC,0,8,-24.8,12650,0.3,0
2017,1,6,05:00,UTC,0,8,-25.7,8300,0,0
2017,1,6,06:00,UTC,0,8,-26.4,7690,0,0
2017,1,6,07:00,UTC,0,8,-26.8,2630,0,0
2017,1,6,08:00,UTC,0,8,-26.7,19900,0,0
2017,1,6,09:00,UTC,0,8,-25.3,20350,0,0
2017,1,6,10:00,UTC,0,8,-22.8,26580,0.2,0
2017,1,6,11:00,UTC,0,7,-20.8,17070,0,0
2017,1,6,12:00,UTC,0,7,-20.7,48280,0.6,0
2017,1,6,13:00,UTC,0,7,-22.2,21310,0.5,0
2017,1,6,14:00,UTC,0,7,-24,13280,0,0
2017,1,6,15:00,UTC,0,7,-25.2,14540,0,0
2017,1,6,16:00,UTC,0,7,-25.8,13670,0,0
2017,1,6,17:00,UTC,0,7,-25.4,18970,0.8,0
2017,1,6,18:00,UTC,0,7,-25.6,18330,0.2,0
2017,1,6,19:00,UTC,0,7,-25.6,14270,0,0
2017,1,6,20:00,UTC,0,7,-24.9,12570,0.3,0
2017,1,6,21:00,UTC,0,7,-21.1,3300,0.4,0
2017,1,6,22:00,UTC,0,7,-18.3,2180,0.7,0
2017,1,6,23:00,UTC,0,7,-15.8,7440,1,0
2017,1,7,00:00,UTC,0,7,-11.2,5310,6.4,2.6
2017,1,7,01:00,UTC,0,7,-9.6,4020,6.1,2.8
2017,1,7,02:00,UTC,0,7,-8.6,6330,6.8,3.1
2017,1,7,03:00,UTC,0,7,-8.1,10930,6.1,2.7
2017,1,7,04:00,UTC,0,7,-7.3,1670,6.8,3.1
2017,1,7,05:00,UTC,0,7,-6.4,9810,8.4,3.7
2017,1,7,06:00,UTC,0.7,8,-6.2,480,8.6,3.9
2017,1,7,07:00,UTC,0.6,9,-6.2,480,7.3,3.5
2017,1,7,08:00,UTC,1.8,11,-6.1,510,7.2,2.8
2017,1,7,09:00,UTC,1,13,-6.1,690,7,3.4
2017,1,7,10:00,UTC,1,15,-6.1,1450,5.2,2.7
2017,1,7,11:00,UTC,0.8,15,-5.6,1060,6.9,2.8
2017,1,7,12:00,UTC,0.5,15,-4.9,7500,4.6,2.1
2017,1,7,13:00,UTC,0.5,15,-4.4,8740,3,1.4
2017,1,7,14:00,UTC,0,15,-4.1,7200,1.8,0.7
2017,1,7,15:00,UTC,0,15,-3.7,2730,1.9,0.8
2017,1,7,16:00,UTC,0,14,-3.6,6530,1.4,0
2017,1,7,17:00,UTC,0,14,-3.1,22230,1.2,0
2017,1,7,18:00,UTC,0,14,-2.8,28420,1.8,0.9
2017,1,7,19:00,UTC,0,14,-2.6,35810,2.6,1.4
2017,1,7,20:00,UTC,0,14,-2.3,27750,3.7,1.6
2017,1,7,21:00,UTC,0,14,-2.2,6010,3.6,1.6
2017,1,7,22:00,UTC,0,13,-2.1,6430,3.6,1.5
2017,1,7,23:00,UTC,0,14,-2.1,3840,3.3,1.3
2017,1,8,00:00,UTC,0,14,-1.9,6350,3.4,1.4
2017,1,8,01:00,UTC,0,14,-1.9,11190,2.6,1
2017,1,8,02:00,UTC,0,14,-1.9,19610,2.7,1.3
2017,1,8,03:00,UTC,0,14,-1.8,18730,3.4,1.6
2017,1,8,04:00,UTC,0,13,-1.8,13090,2.4,1
2017,1,8,05:00,UTC,0,13,-1.8,13600,2.8,1.1
2017,1,8,06:00,UTC,0,13,-1.8,11540,3.3,1.1
2017,1,8,07:00,UTC,0,13,-1.9,10560,3.8,1.4
2017,1,8,08:00,UTC,0,13,-1.9,9250,2.7,0.9
2017,1,8,09:00,UTC,0,13,-1.7,15740,2.6,1.2
2017,1,8,10:00,UTC,0,13,-1.5,19320,4.3,2
2017,1,8,11:00,UTC,0,13,-1.5,32160,4.5,2
2017,1,8,12:00,UTC,0,13,-1.3,50000,4.1,2.2
2017,1,8,13:00,UTC,0,13,-1.3,48750,3.5,2.1
2017,1,8,14:00,UTC,0,13,-1.5,43930,6,2.5
2017,1,8,15:00,UTC,0,13,-1.7,41990,3.3,1.4
2017,1,8,16:00,UTC,0,13,-1.9,44200,3,1.5
2017,1,8,17:00,UTC,0,13,-1.7,47640,2.9,1.3
2017,1,8,18:00,UTC,0,13,-1.4,50000,3.6,1.5
2017,1,8,19:00,UTC,0,13,-1.1,50000,3.3,1.7
2017,1,8,20:00,UTC,0,13,-0.5,7690,5.4,2.4
2017,1,8,21:00,UTC,0,12,-0.4,3010,3.9,1.7
2017,1,8,22:00,UTC,0,12,-0.1,3430,5.1,2.5
2017,1,8,23:00,UTC,0,12,0,50000,4.3,2.2
2017,1,9,00:00,UTC,0,12,-0.1,49550,5,2.3
2017,1,9,01:00,UTC,0,12,-0.5,46210,3.9,1.1
2017,1,9,02:00,UTC,0,12,-0.9,50000,4.2,1.7
2017,1,9,03:00,UTC,0,12,-1.1,39500,3.5,1.7
2017,1,9,04:00,UTC,0,12,-1.2,34590,3.3,1.6
2017,1,9,05:00,UTC,0,12,-1.1,31550,3.2,1.1
2017,1,9,06:00,UTC,0,12,-1,28940,4,1.9
2017,1,9,07:00,UTC,0,12,-1.1,24500,2.9,1.6
2017,1,9,08:00,UTC,0,12,-1.1,22510,3.5,1.5
2017,1,9,09:00,UTC,0,12,-1.1,21140,4.6,2
2017,1,9,10:00,UTC,,,-0.9,,5.4,2.5
2017,1,9,11:00,UTC,0,12,-0.7,24340,4.5,2
2017,1,9,12:00,UTC,0,12,-1.1,25480,3.6,1.7
2017,1,9,13:00,UTC,0,12,-1.4,23150,5,1.9
2017,1,9,14:00,UTC,0,12,-1.4,24920,3.6,1.8
2017,1,9,15:00,UTC,0,12,-1,15810,2.9,1.4
2017,1,9,16:00,UTC,0,12,-0.5,19840,4.3,1.4
2017,1,9,17:00,UTC,0,12,-0.2,20730,3.8,1.3
2017,1,9,18:00,UTC,0,12,0,20760,5.3,2
2017,1,9,19:00,UTC,0,12,0.3,6170,3.9,1.6
2017,1,9,20:00,UTC,0,12,0.5,10630,3,1.3
2017,1,9,21:00,UTC,0,12,0.8,11200,4.9,2.1
2017,1,9,22:00,UTC,0,12,0.8,10040,3.8,1.6
2017,1,9,23:00,UTC,0,12,0.8,8080,5.2,2.2
2017,1,10,00:00,UTC,0,12,0.9,12050,6.3,2.6
2017,1,10,01:00,UTC,0,12,0.7,5350,4.2,1.8
2017,1,10,02:00,UTC,0,11,0.8,12920,4.4,1.8
2017,1,10,03:00,UTC,0,11,1.1,5550,6.8,2
2017,1,10,04:00,UTC,0,11,1.4,3910,4.4,2
2017,1,10,05:00,UTC,0,11,1.6,4910,3.7,1.5
2017,1,10,06:00,UTC,0,11,2.2,20800,5.1,2.4
2017,1,10,07:00,UTC,0,10,2.2,30860,5,2.3
2017,1,10,08:00,UTC,0,10,2.3,38160,5.3,2.4
2017,1,10,09:00,UTC,0,10,2.5,50000,6.2,3.3
2017,1,10,10:00,UTC,0,9,2,15190,8.1,3
2017,1,10,11:00,UTC,0,9,1.9,37750,5.2,2.3
2017,1,10,12:00,UTC,0,8,1.8,13090,3.8,1.9
2017,1,10,13:00,UTC,0,8,1.5,7850,5,1.9
2017,1,10,14:00,UTC,0,7,1.3,19940,6.5,2.4
2017,1,10,15:00,UTC,0,7,1,9940,5,2.1
2017,1,10,16:00,UTC,0,8,1,32730,5.8,2.3
2017,1,10,17:00,UTC,0,8,0.8,19270,8.4,3.4
2017,1,10,18:00,UTC,0,8,0.8,12280,9.3,3.5
2017,1,10,19:00,UTC,0,8,0.8,9910,10.2,3.9
2017,1,10,20:00,UTC,0,8,0.6,9020,7.3,3.1
2017,1,10,21:00,UTC,0,8,0.6,12690,5.8,2.7
2017,1,10,22:00,UTC,0,8,0.7,13010,6.8,3.2
2017,1,10,23:00,UTC,0,8,0.6,12910,7.1,2.9
2017,1,11,00:00,UTC,0,8,0.5,10060,9.6,3.7
2017,1,11,01:00,UTC,0,8,0.3,9290,8.5,3.3
2017,1,11,02:00,UTC,0,8,0.2,15390,7.4,3.3
2017,1,11,03:00,UTC,0,8,0,20420,8.6,3.4
2017,1,11,04:00,UTC,0,8,0.1,16920,6.4,2.3
2017,1,11,05:00,UTC,0,8,0,13980,9.9,4
2017,1,11,06:00,UTC,0,8,-0.7,9160,9.2,3.3
2017,1,11,07:00,UTC,0,8,-0.9,7760,7.4,3.2
2017,1,11,08:00,UTC,0,7,-0.8,7050,8.2,3.7
2017,1,11,09:00,UTC,0,8,-0.9,5660,8.5,3.9
2017,1,11,10:00,UTC,0,8,-0.8,6420,7.7,3.5
2017,1,11,11:00,UTC,0,8,-1.3,6400,9.7,3.9
2017,1,11,12:00,UTC,0,7,-2.1,4510,7.7,3.6
2017,1,11,13:00,UTC,0,8,-2.5,5180,7.9,3.6
