Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Näkyvyys (m),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2019,1,1,00:00,UTC,0.9,14,-0.4,863,,
2019,1,1,01:00,UTC,0.5,14,-0.2,1151,,
2019,1,1,02:00,UTC,0,16,0.1,4450,,
2019,1,1,03:00,UTC,0,16,0.3,4168,,
2019,1,1,04:00,UTC,0,15,0.5,4872,,
2019,1,1,05:00,UTC,0,15,0.6,4574,,
2019,1,1,06:00,UTC,0.5,15,0.6,3280,,
2019,1,1,07:00,UTC,0.2,15,0.6,5074,,
2019,1,1,08:00,UTC,1.6,15,0.4,1421,,
2019,1,1,09:00,UTC,0,15,0.4,4064,,
2019,1,1,10:00,UTC,0.7,15,0.4,2270,,
2019,1,1,11:00,UTC,0.5,16,0.5,3452,,
2019,1,1,12:00,UTC,0.5,15,0.5,7722,,
2019,1,1,13:00,UTC,0,16,0.5,7120,,
2019,1,1,14:00,UTC,2.5,15,0.2,2060,,
2019,1,1,15:00,UTC,0.3,16,0.3,2034,,
2019,1,1,16:00,UTC,0,16,0.5,1169,,
2019,1,1,17:00,UTC,0,16,0.7,1806,,
2019,1,1,18:00,UTC,0,16,0.6,829,,
2019,1,1,19:00,UTC,0,16,0.4,993,,
2019,1,1,20:00,UTC,0,16,0.3,2749,,
2019,1,1,21:00,UTC,0,15,0.4,1193,,
2019,1,1,22:00,UTC,0,15,0.6,2492,,
2019,1,1,23:00,UTC,0,15,0.4,2839,,
2019,1,2,00:00,UTC,0.6,15,0.3,2367,,
2019,1,2,01:00,UTC,1.3,15,-0.4,816,,
2019,1,2,02:00,UTC,0,17,-0.7,4781,,
2019,1,2,03:00,UTC,0,18,-2.4,4678,,
2019,1,2,04:00,UTC,0,17,-3.3,9628,,
2019,1,2,05:00,UTC,0.6,17,-3.6,870,,
2019,1,2,06:00,UTC,0.2,17,-3.4,2568,,
2019,1,2,07:00,UTC,0,16,-4.1,2329,,
2019,1,2,08:00,UTC,0,16,-4.6,2231,,
2019,1,2,09:00,UTC,0,16,-4.7,5266,,
2019,1,2,10:00,UTC,0,16,-4.7,1815,,
2019,1,2,11:00,UTC,0,16,-4.8,5958,,
2019,1,2,12:00,UTC,0,16,-5,10578,,
2019,1,2,13:00,UTC,0,16,-6,50000,,
2019,1,2,14:00,UTC,0,16,-6.5,50000,,
2019,1,2,15:00,UTC,0,16,-7.4,50000,,
2019,1,2,16:00,UTC,0,16,-7.7,50000,,
2019,1,2,17:00,UTC,0,16,-8.4,50000,,
2019,1,2,18:00,UTC,0,16,-8.9,50000,,
2019,1,2,19:00,UTC,0,16,-9.3,50000,,
2019,1,2,20:00,UTC,0,16,-9.5,50000,,
2019,1,2,21:00,UTC,0,16,-9.8,50000,,
2019,1,2,22:00,UTC,0,16,-10.1,50000,,
2019,1,2,23:00,UTC,0,16,-10.4,50000,,
2019,1,3,00:00,UTC,0,16,-10.8,50000,,
2019,1,3,01:00,UTC,0,16,-11,50000,,
2019,1,3,02:00,UTC,0,16,-11.4,50000,,
2019,1,3,03:00,UTC,0,16,-11.9,50000,,
2019,1,3,04:00,UTC,0,16,-12.2,50000,,
2019,1,3,05:00,UTC,0,16,-12.4,50000,,
2019,1,3,06:00,UTC,0,16,-12.7,48437,,
2019,1,3,07:00,UTC,0,16,-13,49317,,
2019,1,3,08:00,UTC,0,16,-13,45694,,
