Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Näkyvyys (m),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2017,1,1,00:00,UTC,0,0,3.3,39560,8.3,6.2
2017,1,1,01:00,UTC,0,0,2.3,48280,5,3.5
2017,1,1,02:00,UTC,0,0,0.7,27940,4.3,3.4
2017,1,1,03:00,UTC,0,0,0.5,38250,3.8,2.7
2017,1,1,04:00,UTC,0,0,-0.2,24660,3.2,2.7
2017,1,1,05:00,UTC,0,0,0.1,45070,3.6,2.8
2017,1,1,06:00,UTC,0,0,-0.2,25640,3.6,2.8
2017,1,1,07:00,UTC,0,0,-1,32140,3.7,3.4
2017,1,1,08:00,UTC,0,0,-1,12820,3,2.5
2017,1,1,09:00,UTC,0,0,-0.8,22420,3.4,2.8
2017,1,1,10:00,UTC,0,0,-0.3,20700,3.9,3
2017,1,1,11:00,UTC,0,0,0,17160,3.6,2.6
2017,1,1,12:00,UTC,0,0,-1.1,31050,2.5,2.2
2017,1,1,13:00,UTC,0,0,-1.2,19810,3.3,2.8
2017,1,1,14:00,UTC,0,0,-1.2,16210,3.5,2.7
2017,1,1,15:00,UTC,0,0,-1.1,12280,3.8,2.9
2017,1,1,16:00,UTC,0,0,-0.7,23370,5.3,4.1
2017,1,1,17:00,UTC,0,0,-0.5,32460,4.5,2.6
2017,1,1,18:00,UTC,0,0,-0.8,50000,5.6,3.4
2017,1,1,19:00,UTC,0,0,-1.5,50000,7.6,5.5
2017,1,1,20:00,UTC,0,0,-1.9,50000,5.7,3.9
2017,1,1,21:00,UTC,0,0,-2.8,50000,5.3,4.1
2017,1,1,22:00,UTC,0,0,-3.8,50000,5.2,3.7
2017,1,1,23:00,UTC,0,0,-4.5,50000,6,4.3
2017,1,2,00:00,UTC,0,0,-4.7,50000,5.2,3.9
2017,1,2,01:00,UTC,0,0,-4.6,50000,4,2.8
2017,1,2,02:00,UTC,0,0,-4.2,50000,5.2,2.7
2017,1,2,03:00,UTC,0,0,-4.1,50000,5.6,3.2
2017,1,2,04:00,UTC,0,0,-4,50000,6.5,4.7
2017,1,2,05:00,UTC,0,0,-4.4,47220,4.6,3.2
2017,1,2,06:00,UTC,0,0,-4.3,23750,3.7,2.4
2017,1,2,07:00,UTC,0,0,-4.1,48840,4.4,3.4
2017,1,2,08:00,UTC,0,0,-3.9,30030,2.7,2.1
2017,1,2,09:00,UTC,0,0,-3.6,42850,2.7,1.8
2017,1,2,10:00,UTC,0,0,-3.4,50000,3.1,2.4
2017,1,2,11:00,UTC,0,0,-3.3,17510,2.6,2
2017,1,2,12:00,UTC,0,0,-3.3,7700,2.5,1.9
2017,1,2,13:00,UTC,0.1,0,-3.3,2710,2.1,1.4
2017,1,2,14:00,UTC,0.4,2,-3.4,1860,2.1,1.6
2017,1,2,15:00,UTC,0.6,3,-3.6,2380,5.2,3.5
2017,1,2,16:00,UTC,0.5,3,-4.1,2890,4.9,3.7
2017,1,2,17:00,UTC,0,3,-4.5,3110,5.9,4.7
2017,1,2,18:00,UTC,0,4,-4.8,4280,5,3.8
2017,1,2,19:00,UTC,0,5,-5.5,4680,5.9,4.5
2017,1,2,20:00,UTC,0.3,5,-5.7,2430,5.2,4
2017,1,2,21:00,UTC,0.1,5,-5.9,2680,5.4,3.7
2017,1,2,22:00,UTC,0.4,5,-6,4220,4.8,3.2
2017,1,2,23:00,UTC,0.3,5,-6.1,2310,5.6,3.5
2017,1,3,00:00,UTC,0,6,-6.9,16130,3.2,2.4
2017,1,3,01:00,UTC,0,6,-7,12900,3.9,2.7
2017,1,3,02:00,UTC,0,5,-6.9,3900,4.3,3.1
2017,1,3,03:00,UTC,0,6,-6.8,4020,4.2,3
2017,1,3,04:00,UTC,0.5,6,-6.9,2440,3.8,2.6
2017,1,3,05:00,UTC,0.6,6,-6.9,750,3.4,2.7
2017,1,3,06:00,UTC,0.4,8,-6.9,1830,3.7,2.5
2017,1,3,07:00,UTC,0.2,8,-7,5820,3.1,2.3
2017,1,3,08:00,UTC,0,8,-7,8230,3.1,2.3
2017,1,3,09:00,UTC,0,8,-7,16880,3,1.8
2017,1,3,10:00,UTC,0,8,-6.7,7710,2.6,2
2017,1,3,11:00,UTC,0,8,-6.6,3340,1.9,1.3
2017,1,3,12:00,UTC,0.9,8,-6.7,650,2.8,2.2
2017,1,3,13:00,UTC,0.4,11,-6.8,1520,3.3,2.5
2017,1,3,14:00,UTC,0,11,-8.2,9750,2.8,2
2017,1,3,15:00,UTC,0,11,-7.7,26380,2.9,2.4
2017,1,3,16:00,UTC,0,11,-8.5,12020,3.6,3.1
2017,1,3,17:00,UTC,0,11,-7.8,33640,4,3.3
2017,1,3,18:00,UTC,0,10,-8.5,15350,4.2,3.4
2017,1,3,19:00,UTC,0,10,-6.5,2110,6,4.1
2017,1,3,20:00,UTC,0,11,-4.6,13650,9.7,7
2017,1,3,21:00,UTC,1,11,-4.8,730,10.3,6.5
2017,1,3,22:00,UTC,2.4,16,-5.3,580,7.9,5.1
2017,1,3,23:00,UTC,0.1,19,-5.7,2470,10.3,7.7
2017,1,4,00:00,UTC,0,18,-6.8,2590,11.8,8.6
2017,1,4,01:00,UTC,0,19,-7.3,4620,11.5,8.8
2017,1,4,02:00,UTC,0,18,-8.5,5760,9.2,7.2
2017,1,4,03:00,UTC,0,18,-9.5,3040,12.8,9.3
