Vuosi,Kk,Pv,Klo,Aikavyöhyke,Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Näkyvyys (m),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2019,1,1,01:00,UTC,0.1,12,1,2690,7.2,4.2
2019,1,1,02:00,UTC,0.7,11,1.5,2340,6.9,4
2019,1,1,03:00,UTC,0,11,1.9,2510,6.4,3.4
2019,1,1,04:00,UTC,0.5,10,2.1,3310,9.5,4.3
2019,1,1,05:00,UTC,0.3,9,2.5,2900,6.6,4.1
2019,1,1,06:00,UTC,0.1,9,2.7,3260,6.9,2.7
2019,1,1,07:00,UTC,0.7,8,2.6,2890,8.1,2
2019,1,1,08:00,UTC,0.4,8,2.5,3650,7,2.7
2019,1,1,09:00,UTC,0.2,7,2.8,3410,7.1,4.2
2019,1,1,10:00,UTC,0,7,3,4180,8.3,5.8
2019,1,1,11:00,UTC,0,7,3.1,5500,4.5,3.1
2019,1,1,12:00,UTC,0,7,2.8,3940,5.5,4.4
2019,1,1,13:00,UTC,0,7,2.9,50000,7,4.9
2019,1,1,14:00,UTC,0,7,2.4,6610,7.8,5.5
2019,1,1,15:00,UTC,0,7,1.9,50000,4.2,3
2019,1,1,16:00,UTC,0,6,1.8,26610,5.3,3.9
2019,1,1,17:00,UTC,0,6,1.3,50000,3.5,2.8
2019,1,1,18:00,UTC,0,6,1.3,38980,1.9,1.2
2019,1,1,19:00,UTC,0,6,1.2,3260,2.2,1.2
2019,1,1,20:00,UTC,0,6,1,3120,1.6,1.3
2019,1,1,21:00,UTC,0,6,1,5230,2.4,2
2019,1,1,22:00,UTC,0,6,1.4,50000,4.5,3.5
2019,1,1,23:00,UTC,0,6,0.9,16330,6.9,5.5
2019,1,2,00:00,UTC,0.3,6,1,4480,7.2,5.3
2019,1,2,01:00,UTC,0.4,6,0.7,6310,9.6,6.8
2019,1,2,02:00,UTC,0.4,7,0.4,3310,12.4,9.2
2019,1,2,03:00,UTC,1.3,6,-0.8,940,18.6,12.1
2019,1,2,04:00,UTC,0,7,-1.9,7170,17.9,12.5
2019,1,2,05:00,UTC,0,7,-2.3,24240,18.6,12.7
2019,1,2,06:00,UTC,0,7,-2.3,2610,17.9,12.5
2019,1,2,07:00,UTC,0.1,7,-2.8,1750,18.5,10.7
2019,1,2,08:00,UTC,0,7,-3.3,2940,16.3,10.8
2019,1,2,09:00,UTC,0,6,-3.6,3910,17,11
2019,1,2,10:00,UTC,0,6,-3.8,1780,17.2,11.9
2019,1,2,11:00,UTC,0.6,7,-4.3,1120,16.1,11.2
2019,1,2,12:00,UTC,0,6,-4.3,,18.9,12
2019,1,2,13:00,UTC,0,7,-4.5,,15,11.4
2019,1,2,14:00,UTC,0,7,-5.1,50000,15.3,10
2019,1,2,15:00,UTC,0,6,-5.9,50000,15.6,11
2019,1,2,16:00,UTC,0,6,-6.6,50000,15.3,9.7
2019,1,2,17:00,UTC,0,6,-6.8,42320,17.6,11
2019,1,2,18:00,UTC,0,6,-7.2,50000,15.1,10.4
2019,1,2,19:00,UTC,0,6,-7.5,50000,12.6,8.5
2019,1,2,20:00,UTC,0,7,-7.6,50000,14.7,9.6
2019,1,2,21:00,UTC,0,6,-7.6,50000,11.8,8.3
2019,1,2,22:00,UTC,0,6,-7.5,50000,14.2,9.6
2019,1,2,23:00,UTC,0,6,-7.8,50000,12.5,9.1
2019,1,3,00:00,UTC,0,7,-7.8,50000,15.7,9.4
2019,1,3,01:00,UTC,0,7,-8.3,50000,12.3,9.3
2019,1,3,02:00,UTC,0,7,-8.5,50000,12,8.3
2019,1,3,03:00,UTC,0,7,-9,50000,11.5,8.1
2019,1,3,04:00,UTC,0,7,-9.3,50000,12.2,8.6
2019,1,3,05:00,UTC,0,7,-9.8,50000,10.4,7
2019,1,3,06:00,UTC,0,7,-9.5,50000,10.7,7.5
2019,1,3,07:00,UTC,0,7,-10.3,50000,9.3,6.8
2019,1,3,08:00,UTC,0,7,-10.5,50000,8.4,6.7
2019,1,3,09:00,UTC,0,7,-10,50000,8.3,6.1
2019,1,3,10:00,UTC,0,7,-9.5,50000,9.6,6.7
2019,1,3,11:00,UTC,0,7,-9,42630,6.5,5.1
2019,1,3,12:00,UTC,0,7,-9.2,50000,6.3,4.4
2019,1,3,13:00,UTC,0,7,-10,50000,6.8,5.1
2019,1,3,14:00,UTC,0,7,-11.2,50000,6.9,5.3
2019,1,3,15:00,UTC,0,7,-12.2,50000,4,3.1
2019,1,3,16:00,UTC,0,7,-12.3,50000,4.2,2.8
2019,1,3,17:00,UTC,0,7,-12.9,50000,3.2,2.6
2019,1,3,18:00,UTC,0,7,-13.6,50000,2.3,1.5
2019,1,3,19:00,UTC,0,7,-13.9,44890,2.5,1.5
2019,1,3,20:00,UTC,0,7,-13.9,6980,2.8,2
2019,1,3,21:00,UTC,0,7,-13.9,50000,1.3,0.9
2019,1,3,22:00,UTC,0,7,-11.9,42400,8.1,1.9
2019,1,3,23:00,UTC,0,7,-10.6,50000,1.9,1.4
2019,1,4,00:00,UTC,0,7,-9.3,50000,5.8,3.5
2019,1,4,01:00,UTC,0,7,-8.2,10340,3.4,2.2
2019,1,4,02:00,UTC,0,7,-6.2,3570,4.9,3.5
2019,1,4,03:00,UTC,0.4,7,-4,1920,4.9,2.7
2019,1,4,04:00,UTC,0,8,-2.3,1810,12.9,5.5
2019,1,4,05:00,UTC,0.4,8,-2,1830,5.1,2.7
2019,1,4,06:00,UTC,0,8,-1.7,3170,5.7,2.6
2019,1,4,07:00,UTC,0,8,-1.3,5630,6.7,3.4
2019,1,4,08:00,UTC,0,8,-0.7,8590,5.8,3.9
2019,1,4,09:00,UTC,0,9,-0.2,900,2.1,1.6
2019,1,4,10:00,UTC,0.3,10,0,2100,3.9,2.9
2019,1,4,11:00,UTC,0,10,0.2,780,4.1,3.1
2019,1,4,12:00,UTC,0,10,0.2,4840,4.7,3.5
2019,1,4,13:00,UTC,0,10,0.2,710,5,3.6
2019,1,4,14:00,UTC,0.3,10,0.1,12610,6.1,4.6
2019,1,4,15:00,UTC,0,10,-0.1,42450,7.9,6.3
2019,1,4,16:00,UTC,0,10,-0.5,50000,10.1,7
2019,1,4,17:00,UTC,0,10,-0.9,50000,10.3,7.3
2019,1,4,18:00,UTC,0,10,-1.3,5240,9.2,6.5
2019,1,4,19:00,UTC,0,10,-1.6,50000,8.5,6
2019,1,4,20:00,UTC,0,10,-2.7,27250,10.1,7.3
2019,1,4,21:00,UTC,0,10,-2.9,50000,9,6.8
2019,1,4,22:00,UTC,0,10,-3.5,50000,9.8,6.2
2019,1,4,23:00,UTC,0,10,-3.9,50000,10.2,5.6
2019,1,5,00:00,UTC,0,10,-4.2,13660,8,5.9
2019,1,5,01:00,UTC,0,9,-4.5,16210,8.2,5.1
2019,1,5,02:00,UTC,0,9,-4.9,50000,9.2,6
2019,1,5,03:00,UTC,0,9,-5.2,24890,9.7,6.2
2019,1,5,04:00,UTC,0,9,-5.4,27530,8.2,5.8
2019,1,5,05:00,UTC,0,9,-5.6,50000,8.9,6.3
2019,1,5,06:00,UTC,0,9,-5.7,44800,6.2,4.4
2019,1,5,07:00,UTC,0,9,-5.7,50000,7.5,5.1
2019,1,5,08:00,UTC,0,9,-5.8,37640,7.1,4.8
2019,1,5,09:00,UTC,0,9,-5.7,32130,6.8,5.2
2019,1,5,10:00,UTC,0,9,-5.7,26050,6.5,4.6
2019,1,5,11:00,UTC,0,9,-5.6,40930,7.3,5.2
2019,1,5,12:00,UTC,0,9,-5.5,50000,7,5.4
2019,1,5,13:00,UTC,0,9,-5.7,49180,6.8,4.1
2019,1,5,14:00,UTC,0,9,-5.5,49140,6.5,4.7
2019,1,5,15:00,UTC,0,9,-5.6,50000,4.7,3.6
2019,1,5,16:00,UTC,0,9,-5.6,50000,5.8,4.1
2019,1,5,17:00,UTC,0,9,-5.8,50000,6.4,4.7
2019,1,5,18:00,UTC,0,9,-6.1,50000,6.1,4.5
2019,1,5,19:00,UTC,0,9,-6.2,50000,5.4,3.8
2019,1,5,20:00,UTC,0,9,-6.6,50000,3.9,3
2019,1,5,21:00,UTC,0,9,-6.7,50000,4.7,3.4
2019,1,5,22:00,UTC,0,9,-7.1,19050,4.8,3.5
2019,1,5,23:00,UTC,0,9,-7.3,2980,4.5,3
2019,1,6,00:00,UTC,0,9,-7.6,7430,3.2,2
2019,1,6,01:00,UTC,0,10,-7.4,50000,2,1.4
2019,1,6,02:00,UTC,0,10,-7.5,31420,2.7,2
2019,1,6,03:00,UTC,0,10,-7.5,6240,2.5,1.6
2019,1,6,04:00,UTC,0,10,-7.4,50000,2.8,1.9
2019,1,6,05:00,UTC,0,10,-7.3,50000,2.2,1.5
2019,1,6,06:00,UTC,0,10,-7.3,50000,1.6,1.1
2019,1,6,07:00,UTC,0,10,-7.2,50000,2.1,1.5
2019,1,6,08:00,UTC,0,9,-6.7,50000,6.5,2.2
2019,1,6,09:00,UTC,0,10,-6.3,50000,3.2,2.4
2019,1,6,10:00,UTC,0,9,-5.6,50000,2.8,2.3
2019,1,6,11:00,UTC,0,9,-4.8,50000,3.1,2.1
2019,1,6,12:00,UTC,0,9,-4.1,50000,3.5,2.4
2019,1,6,13:00,UTC,0,9,-3.6,50000,5.1,3.4
2019,1,6,14:00,UTC,0,9,-3,50000,4.2,3.2
2019,1,6,15:00,UTC,0,9,-2.6,50000,6.1,3.9
2019,1,6,16:00,UTC,0,9,-2.1,50000,5.4,3.7
2019,1,6,17:00,UTC,0,9,-1.6,48870,5.7,4
2019,1,6,18:00,UTC,0,9,-1,50000,4.9,3
2019,1,6,19:00,UTC,0,9,-0.8,6000,4,2.9
2019,1,6,20:00,UTC,0.5,9,-1,2350,5.2,3.5
2019,1,6,21:00,UTC,0,9,-0.7,4490,5.5,3.9
2019,1,6,22:00,UTC,0,9,-0.2,1730,5.8,4.2
2019,1,6,23:00,UTC,0,9,0,1710,3.8,2.8
2019,1,7,00:00,UTC,0,10,0.5,7780,5.5,4
